run_id,issue_id,summary,field,risk,risk_note,field_ok,expected_risk,summary_ok,note
# 填法,,summary_ok/field_ok 填 1(认可) 或 0(不认可),expected_risk 填 high/medium/low(认可原标注就留空),,,,,,
260924-live-case01-mavis-C-1630,issue-1,在缺乏官方确认的信息真空期，Investment AI 未评估市场情绪放大机制及投资者将『产品验证』误读为『即将签约』的行为路径，导致未能预见信息不对称下的非理性价格波动反馈,行为金融学 / 市场微观结构,medium,可能遗漏关键风险预警信号，使用户在面对剧烈波动时缺乏心理预期与应对框架，虽本案用户未买入规避损失，但判断框架存在盲区,,,,
260924-live-case01-mavis-C-1630,issue-2,Investment AI 虽指出『120-150亿元』源自 MarketScope 情景测算，但未明确说明此类无公司背书的第三方情景测算在投资决策中应被赋予的权重或评估标准,权益研究方法论 / 估值分析,medium,导致判断框架缺乏对非官方量化预期的处理规则，可能在未来案例中因缺乏评估标尺而误判市场共识强度或轻信不可靠测算,,,,
260924-live-case01-mavis-C-1630,issue-3,Investment AI 将『未进入首批供货名单』视为最终否定结果，未评估客户后续调整采购计划或重新评估带来的潜在机会窗口,供应链战略分析 / 企业发展战略,medium,可能造成过早排除潜在标的，忽视供应链进入流程的动态性与阶段性机会，属于情景推演不完整,,,,
260924-live-case01-mavis-C-1630,issue-4,Investment AI 识别出市场传言『去语境化』传播现象，但未深入分析财经账号广泛引用且不标注来源的传播动机（如引流、利益输送），未识别该传播生态作为『认知偏见放大器』的结构性风险,信息取证 / 媒介经济学 / 公开源情报分析,low,信息来源评估存在盲区，无法有效甄别人为制造的市场热点与真实基本面变化，长期看可能降低判断对信息噪音的免疫力,,,,
260924-live-case01-mavis-C-1609,issue-1,在没有官方确认的情况下，将MarketScope的测算结果作为市场传闻的‘事实’引用，并未明确指出其方法论未公开、未获公司背书，也未说明该测算属于第三方叙事建构而非公司披露内容,信息验证与来源可信度评估,high,用户可能误将未经证实的第三方测算视为公司实际进展，进而基于错误信息做出投资决策，导致资金损失且不可逆,,,,
260924-live-case01-mavis-C-1609,issue-2,在8月28日市场短暂冲高后迅速回落，且9月7日公告发布前股价已大幅下挫的情况下，隐含假设市场情绪的反应早于信息澄清，但未对‘信息滞后性’与‘情绪先行’之间的关系进行明确分析和预警,市场情绪与信息传播动态分析,medium,该判断未揭示市场情绪与信息传播的时间错配风险，可能导致用户误判信息有效性，进而产生非理性追涨或抛售行为，放大投资波动,,,,
260924-live-case01-mavis-C-1609,issue-3,在回应用户时，未明确指出MarketScope的测算本质上是‘叙事建构’而非‘事实陈述’，也未提醒用户警惕第三方测算与公司官方披露之间的本质差异,投资信息透明性与叙事识别,high,该疏漏削弱了判断的透明性，使用户无法区分市场传闻与事实进展，容易形成认知偏差，进而基于错误认知进行投资操作,,,,
260922-live-case01-mavis-auto-1820,issue-1,在未获取任何交付周期、价格条款或违约责任等具体合同条款的情况下，将客户签署的初步供应安排认定为具有法律约束力的订单，并据此推断其构成实质采购行为,合同法与商业法律,high,该判断缺乏合同法层面的依据，可能错误地将阶段性合作视为最终订单，导致对采购规模和履约风险的严重误判，进而引发用户基于错误信息做出投资决策，造成不可逆的资金损失,,,,
260922-live-case01-mavis-auto-1820,issue-2,在未查询新能源材料行业历史采购数据或典型供应商准入流程的情况下，假设客户未来会扩大采购规模，并以此作为订单可信度的支撑依据,行业研究与市场趋势分析,medium,该假设基于行业经验的推测而非实证数据，属于未经验证的推断，可能误导用户对长期订单可持续性的判断，导致对项目前景的过度乐观估计，存在系统性误判风险,,,,
260922-live-case01-mavis-auto-1820,issue-3,在未追溯媒体传播路径或来源的情况下，仅指出‘120–150亿元’数字无公开文件依据，却未评估该数字在类似事件中的典型叙事模式或传播机制,媒体传播与信息溯源分析,medium,该信息溯源缺失可能导致对市场情绪驱动的误判，未能识别媒体在新能源项目中常见的夸大叙事倾向，从而低估了市场传闻对股价的误导性影响，存在信息偏见风险,,,,
260922-live-case01-mavis-auto-1820,issue-4,在未评估市场对‘进入合格供应商名单’这一事件的反应强度的情况下，将该事件视为‘未确认订单’的前奏，并认为其市场影响微弱，未将其纳入证据强度评估框架,市场情绪与行为金融学,high,该判断忽视了市场情绪的即时反应，错误低估了‘进入合格供应商名单’对股价的推动作用，导致对市场信号的解读偏差，使用户误判信息进展的真实程度，形成判断滞后,,,,
260922-live-case01-mavis-auto-0950,issue-1,在未获得任何官方文件确认的情况下，将『初步供应安排』解读为长期采购承诺，并据此推断未来订单规模将逐步扩容,商业合同与采购关系定义,high,该判断缺乏法律或财务定义支撑，存在将商务沟通误视为实质订单的风险，可能导致用户基于错误预期投入资金，且一旦市场情绪逆转，将面临重大亏损,,,,
260922-live-case01-mavis-auto-0950,issue-2,在未验证客户新能源汽车产业链采购偏好数据的情况下，假设HCM的供应份额可能因客户偏好而提升，并将其作为估值支撑因素,行业需求与供应链结构分析,medium,该假设基于未公开信息的推测，未经过行业研究或权威数据支持，属于过度推断，可能误导用户对业务基本面的理解，导致估值误判,,,,
