run_id,text_len,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,relevance,fidelity,style_ok,note
# 八维定义,判断质量(哪些合理/哪些值得质疑),信息与证据(是否充分/一致/缺什么),"假设与不确定性(哪里做了假设,依据多大)",利益与立场(利益相关方差异/冲突),行动与后果(直接/间接/长期后果),结果与判断质量(区分运气与过程),需要进一步帮助的问题(超出可靠判断范围的),学到什么(保留/重新考虑什么),切题度 1-5,1=未编造事实,1=无客套/追问/emoji,
260924-live-case01-mavis-C-1630,1902,,,,,,,,,,,1,
260924-live-case01-mavis-C-1609,2005,,,,,,,,,,,1,
260922-live-case01-mavis-auto-1820,2212,,,,,,,,,,,1,
260922-live-case01-mavis-auto-0950,1928,,,,,,,,,,,1,
260922-live-case01-mavis-A-0958,2312,,,,,,,,,,,1,
260921-live-case01-mavis-auto-2210,1501,,,,,,,,,,,1,
260921-live-case01-mavis-auto-2011,1637,,,,,,,,,,,1,
260921-live-case01-mavis-auto-1859,2393,,,,,,,,,,,1,
260920-live-case01-mavis-auto-1702,1867,,,,,,,,,,,1,
260920-live-case01-mavis-auto-1351,2165,,,,,,,,,,,1,
260920-live-case01-mavis-auto-1320,1823,,,,,,,,,,,1,
260920-live-case01-mavis-C-1642,2096,,,,,,,,,,,1,
260920-live-case01-mavis-C-1630,2224,,,,,,,,,,,1,
260920-live-case01-mavis-C-1452,2250,,,,,,,,,,,1,
260920-live-case01-mavis-C-1443,2283,,,,,,,,,,,1,
260919-live-case01-mavis-auto-2253,2443,,,,,,,,,,,1,
260919-live-case01-mavis-B-2237,2313,,,,,,,,,,,1,
260919-live-case01-mavis-B-2158,3083,,,,,,,,,,,1,
260919-live-case01-mavis-B-2151,3473,,,,,,,,,,,1,
260919-live-case01-mavis-B-2139,3659,,,,,,,,,,,1,
260919-live-case01-mavis-B-2131,3909,,,,,,,,,,,1,
260919-live-case01-mavis-B-2125,3881,,,,,,,,,,,1,
260919-live-case01-mavis-B-1926,4939,,,,,,,,,,,1,
260919-live-case01-mavis-A-1720,5347,,,,,,,,,,,1,
